GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,TAXON CONCEPT ID,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,EXOTIC CODE,OBSERVATION COUNT,BREEDING CODE,BREEDING CATEGORY,BEHAVIOR CODE,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS,Unnamed: 49
URN:CornellLabOfOrnithology:EBIRD:OBS2040589465,2024-05-02 06:19:19.018923,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,14,,,,,Sri Lanka,LK,Hambantota,LK-33,Hambantota,LK-33-004,BIRDLIFE_15327,,,,Bundala NP (General),L1078558,H,6.188598,81.2200356,2024-04-09,06:29:00,obsr1780643,S167826629,Traveling,P22,EBIRD,280.0,24.757,,5.0,1,G12061283,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS2070963794,2024-04-19 02:46:29.738179,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,15,,,,,Sri Lanka,LK,Hambantota,LK-33,Hambantota,LK-33-004,BIRDLIFE_15327,,,,Bundala NP (General),L1078558,H,6.188598,81.2200356,2024-04-19,06:18:00,obsr1438737,S169256367,Traveling,P22,EBIRD,301.0,18.826,,10.0,1,G12130251,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS2100636852,2024-04-28 09:15:30.357164,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,15,,,,,Sri Lanka,LK,Hambantota,LK-33,Hambantota,LK-33-004,BIRDLIFE_15327,,,,Bundala NP (General),L1078558,H,6.188598,81.2200356,2024-04-19,06:18:00,obsr5009209,S170707049,Traveling,P22,EBIRD,301.0,18.826,,10.0,1,G12130251,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS2040598058,2024-04-23 08:27:45.515245,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,14,,,,,Sri Lanka,LK,Hambantota,LK-33,Hambantota,LK-33-004,BIRDLIFE_15327,,,,Bundala NP (General),L1078558,H,6.188598,81.2200356,2024-04-09,06:29:00,obsr2882675,S167826956,Traveling,P22,EBIRD,280.0,24.76,,5.0,1,G12061283,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS2071159567,2024-04-24 21:44:05.157603,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,15,,,,,Sri Lanka,LK,Hambantota,LK-33,Hambantota,LK-33-004,BIRDLIFE_15327,,,,Bundala NP (General),L1078558,H,6.188598,81.2200356,2024-04-19,06:18:00,obsr1470931,S169261085,Traveling,P22,EBIRD,301.0,18.83,,10.0,1,G12130251,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS2070969944,2024-04-19 02:52:53.681104,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,15,,,,,Sri Lanka,LK,Hambantota,LK-33,Hambantota,LK-33-004,BIRDLIFE_15327,,,,Bundala NP (General),L1078558,H,6.188598,81.2200356,2024-04-19,06:18:00,obsr3371296,S169256560,Traveling,P22,EBIRD,301.0,18.826,,10.0,1,G12130251,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS2044416339,2024-04-23 08:38:05.449383,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,14,,,,,Sri Lanka,LK,Hambantota,LK-33,Hambantota,LK-33-004,BIRDLIFE_15327,,,,Bundala NP (General),L1078558,H,6.188598,81.2200356,2024-04-09,06:29:00,obsr2793674,S167994280,Traveling,P22,EBIRD,280.0,24.757,,5.0,1,G12061283,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS2070909194,2024-04-19 02:41:25.216097,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,15,,,,,Sri Lanka,LK,Hambantota,LK-33,Hambantota,LK-33-004,BIRDLIFE_15327,,,,Bundala NP (General),L1078558,H,6.188598,81.2200356,2024-04-19,06:18:00,obsr1499219,S169255216,Traveling,P22,EBIRD,301.0,18.826,,10.0,1,G12130251,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS2065970695,2024-04-28 05:06:43.707577,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,10,,,,,Sri Lanka,LK,Hambantota,LK-33,Hambantota,LK-33-004,BIRDLIFE_15327,,,,Bundala NP (General),L1078558,H,6.188598,81.2200356,2024-04-17,06:55:00,obsr666761,S169038403,Traveling,P22,EBIRD,197.0,7.599,,2.0,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS2110278814,2024-04-30 22:59:43.952266,24523,species,avibase-95F3F185,Red-vented Bulbul,Pycnonotus cafer,,,,1,,,,,Sri Lanka,LK,Hambantota,LK-33,Hambantota,LK-33-004,,,,,"Bandagiriya, Southern Province, LK (6.233, 81.16)",L12779454,P,6.2327684,81.1596741,2024-04-30,17:40:00,obsr1787312,S171244274,Stationary,P21,EBIRD,30.0,,,1.0,1,,0,1,0,,,,
