GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,TAXON CONCEPT ID,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,EXOTIC CODE,OBSERVATION COUNT,BREEDING CODE,BREEDING CATEGORY,BEHAVIOR CODE,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS,Unnamed: 49
URN:CornellLabOfOrnithology:EBIRD:OBS1334063976,2023-10-23 19:23:30.5459,24523,species,,Red-vented Bulbul,Pycnonotus cafer,,,,8,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Gurupokuna - Kalametiya,L17638626,P,6.0837023,80.9323441,2022-02-04,15:42:00,obsr580318,S101993660,Traveling,P22,EBIRD,39.0,1.3,,1.0,1,G7821490,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1334055839,2023-10-22 20:04:16.227519,24523,species,,Red-vented Bulbul,Pycnonotus cafer,,,,4,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Kalametiya Sanctuary- Lunama Lagoon,L17638956,P,6.0957235,80.9555139,2022-02-04,16:35:00,obsr1001147,S101992928,Traveling,P22,EBIRD,60.0,1.01,,7.0,1,G7821541,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1346750284,2024-08-25 01:52:12.752563,24523,species,,Red-vented Bulbul,Pycnonotus cafer,,,,X,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Kalametiya Bird Sanctuary,L5662667,H,6.0906125,80.9354124,2022-02-19,09:30:00,obsr2018658,S103124898,Traveling,P22,EBIRD,360.0,2.0,,1.0,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1334063930,2023-10-22 02:59:02.120874,24523,species,,Red-vented Bulbul,Pycnonotus cafer,,,,3,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,"Hungama - Gurupokuna Road, Southern Province, LK (6.097, 80.924)",L17638336,P,6.0968647,80.9243003,2022-02-04,15:28:00,obsr580318,S101993640,Traveling,P22,EBIRD,8.0,2.29,,5.0,1,G7821481,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1334049547,2023-10-22 20:01:40.860174,24523,species,,Red-vented Bulbul,Pycnonotus cafer,,,,4,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Kalametiya Sanctuary- Lunama Lagoon,L17638956,P,6.0957235,80.9555139,2022-02-04,16:35:00,obsr225081,S101992310,Traveling,P22,EBIRD,60.0,1.01,,7.0,1,G7821541,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1373378927,2023-10-23 19:24:34.366564,24523,species,,Red-vented Bulbul,Pycnonotus cafer,,,,X,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Kalametiya Bird Sanctuary,L5662667,H,6.0906125,80.9354124,2022-03-24,06:50:00,obsr2018658,S105465554,Traveling,P22,EBIRD,412.0,4.0,,1.0,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1389577764,2023-10-22 20:02:34.378321,24523,species,,Red-vented Bulbul,Pycnonotus cafer,,,,6,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Kalametiya Sanctuary- Lunama Lagoon,L17638956,P,6.0957235,80.9555139,2022-04-07,12:38:00,obsr3047223,S106828951,Traveling,P22,EBIRD,29.0,0.32,,1.0,1,G8160389,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1385085204,2023-10-22 03:01:19.266925,24523,species,,Red-vented Bulbul,Pycnonotus cafer,,,,3,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,"Kalamatiya Road, Kalametiya, Southern Province, LK (6.099, 80.955)",L18402546,P,6.0985829,80.9547514,2022-04-07,12:32:00,obsr1001147,S106448891,Stationary,P21,EBIRD,5.0,,,1.0,1,G8160390,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1400600790,2023-10-23 19:25:12.978165,24523,species,,Red-vented Bulbul,Pycnonotus cafer,,,,1,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Kalametiya Bird Sanctuary,L5662667,H,6.0906125,80.9354124,2022-04-23,09:12:00,obsr2812400,S107751726,Traveling,P22,EBIRD,5.0,2.679,,1.0,1,,0,1,0,,,,
URN:CornellLabOfOrnithology:EBIRD:OBS1392517439,2023-10-22 19:57:13.670363,24523,species,,Red-vented Bulbul,Pycnonotus cafer,,,,2,,,,,Sri Lanka,LK,Hambantota,LK-33,Ambalantota,LK-33-001,,,,,Kalametiya Bird Sanctuary,L5662667,H,6.0906125,80.9354124,2022-04-15,14:49:00,obsr1719639,S107072006,Traveling,P22,EBIRD,44.0,0.69,,1.0,1,,0,1,0,,,,
