COMMON NAME,OBSERVATION COUNT,COUNTY,LOCALITY,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED
Red-vented Bulbul,9,Ambalantota,Kalametiya Sanctuary Lunama Lagoon,6.0957235,80.9555139,2022-11-19,16:15:00
Red-vented Bulbul,2,Ambalantota,Kalamatiya Road Kalametiya Southern Province,6.0985829,80.9547514,2022-11-18,14:06:00
Red-vented Bulbul,7,Ambalantota,Kalamatiya Sanctuary,6.089234,80.9489068,2022-11-18,16:43:00
Red-vented Bulbul,7,Ambalantota,Kalamatiya Sanctuary,6.089234,80.9489068,2022-11-18,16:43:00
Red-vented Bulbul,X,Ambalantota,Kalametiya Bird Sanctuary,6.0906125,80.9354124,2022-11-29,06:42:00
Red-vented Bulbul,X,Ambalantota,Kalametiya Bird Sanctuary,6.0906125,80.9354124,2022-11-26,06:15:00
Red-vented Bulbul,9,Ambalantota,Kalametiya Sanctuary Lunama Lagoon,6.0957235,80.9555139,2022-11-19,16:15:00
Red-vented Bulbul,9,Ambalantota,Kalametiya Sanctuary Lunama Lagoon,6.0957235,80.9555139,2022-11-19,16:15:00
Red-vented Bulbul,2,Ambalantota,Kalamatiya Road Kalametiya Southern Province,6.0985829,80.9547514,2022-11-18,14:06:00
Red-vented Bulbul,9,Ambalantota,Kalametiya Sanctuary Lunama Lagoon,6.0957235,80.9555139,2022-11-19,16:15:00
Red-vented Bulbul,4,Ambalantota,Kalametiya Sanctuary Lunama Lagoon,6.0957235,80.9555139,2022-11-18,16:11:00
Red-vented Bulbul,12,Ambalantota,Kalamatiya Sanctuary,6.089234,80.9489068,2022-11-18,14:39:00
Red-vented Bulbul,9,Ambalantota,Kalametiya Sanctuary Lunama Lagoon,6.0957235,80.9555139,2022-11-19,16:15:00
Red-vented Bulbul,4,Ambalantota,Kalametiya Sanctuary Lunama Lagoon,6.0957235,80.9555139,2022-11-18,16:11:00
Red-vented Bulbul,12,Ambalantota,Kalamatiya Sanctuary,6.089234,80.9489068,2022-11-18,14:39:00
Red-vented Bulbul,X,Ambalantota,Kalametiya Bird Sanctuary,6.0906125,80.9354124,2022-12-17,06:08:00
Red-vented Bulbul,X,Ambalantota,Kalametiya Bird Sanctuary,6.0906125,80.9354124,2023-01-27,11:29:00
Red-vented Bulbul,6,Ambalantota,Kalametiya Bird Sanctuary,6.0906125,80.9354124,2023-01-23,15:00:00
Red-vented Bulbul,2,Ambalantota,Kalametiya Bird Sanctuary,6.0906125,80.9354124,2023-01-13,06:12:00
Red-vented Bulbul,X,Ambalantota,Kalametiya Bird Sanctuary,6.0906125,80.9354124,2023-01-14,06:04:00
Red-vented Bulbul,4,Ambalantota,Kalamatiya Sanctuary,6.089234,80.9489068,2023-02-04,17:09:00
Red-vented Bulbul,2,Ambalantota,Kalamatiya Road Kalametiya Southern Province,6.0985829,80.9547514,2023-02-04,16:16:00
Red-vented Bulbul,6,Ambalantota,Kalametiya,6.0977986,80.9622002,2023-02-25,06:00:00
Red-vented Bulbul,1,Ambalantota,Kalametiya,6.0977986,80.9622002,2023-02-22,16:00:00
Red-vented Bulbul,5,Ambalantota,Kalamatiya Bird Sanctuary,6.081551,80.935586,2023-02-14,16:30:00
Red-vented Bulbul,2,Ambalantota,Kalamatiya Road Kalametiya Southern Province,6.0985829,80.9547514,2023-02-04,16:16:00
Red-vented Bulbul,4,Ambalantota,Kalamatiya Sanctuary,6.089234,80.9489068,2023-02-04,17:09:00
Red-vented Bulbul,4,Ambalantota,Kalamatiya Sanctuary,6.089234,80.9489068,2023-02-04,17:09:00
Red-vented Bulbul,5,Ambalantota,Kalamatiya Bird Sanctuary,6.081551,80.935586,2023-02-14,16:30:00
Red-vented Bulbul,5,Ambalantota,Kalamatiya Bird Sanctuary,6.081551,80.935586,2023-02-14,16:30:00
Red-vented Bulbul,2,Ambalantota,Kalamatiya Road Kalametiya Southern Province,6.0985829,80.9547514,2023-02-04,16:16:00
Red-vented Bulbul,2,Ambalantota,Kalamatiya Road Kalametiya Southern Province,6.0985829,80.9547514,2023-02-04,16:16:00
Red-vented Bulbul,4,Ambalantota,Kalamatiya Sanctuary,6.089234,80.9489068,2023-02-04,17:09:00
Red-vented Bulbul,2,Ambalantota,Kalamatiya Road Kalametiya Southern Province,6.0985829,80.9547514,2023-02-04,16:16:00
Red-vented Bulbul,4,Ambalantota,Kalamatiya Sanctuary,6.089234,80.9489068,2023-02-04,17:09:00
Red-vented Bulbul,4,Ambalantota,Saradha Lagoon View,6.105401,80.924106,2023-03-25,15:45:00
Red-vented Bulbul,4,Ambalantota,Kalametiya Bird Sanctuary,6.0906125,80.9354124,2023-03-26,06:00:00
Red-vented Bulbul,X,Ambalantota,Kalametiya Bird Sanctuary,6.0906125,80.9354124,2023-03-25,06:05:00
Red-vented Bulbul,X,Ambalantota,Kalametiya Bird Sanctuary,6.0906125,80.9354124,2023-03-04,06:05:00
Red-vented Bulbul,12,Ambalantota,Kalametiya,6.0977986,80.9622002,2023-05-05,15:30:00
Red-vented Bulbul,12,Ambalantota,Kalametiya,6.0977986,80.9622002,2023-05-04,15:45:00
Red-vented Bulbul,12,Ambalantota,Kalametiya,6.0977986,80.9622002,2023-05-05,06:00:00
Red-vented Bulbul,1,Ambalantota,Taragala chalets Tangalle Southern Province,6.0832481,80.9311222,2023-07-04,15:45:00
Red-vented Bulbul,1,Ambalantota,Taragala chalets Tangalle Southern Province,6.0832481,80.9311222,2023-07-05,06:15:00
Red-vented Bulbul,1,Ambalantota,Taragala chalets Tangalle Southern Province,6.0832481,80.9311222,2023-07-04,14:22:00
Red-vented Bulbul,X,Ambalantota,Kalametiya Bird Sanctuary,6.0906125,80.9354124,2023-08-31,15:21:00
Red-vented Bulbul,10,Ambalantota,Kalametiya Bird Sanctuary,6.0906125,80.9354124,2023-09-29,10:12:00
Red-vented Bulbul,2,Ambalantota,Kalametiya Bird Sanctuary,6.0906125,80.9354124,2023-09-20,11:00:00
Red-vented Bulbul,1,Ambalantota,Kalametiya Sanctuary Lunama Lagoon,6.0957235,80.9555139,2023-11-05,05:43:00
Red-vented Bulbul,7,Ambalantota,Ussangoda National Park Ambalantota Sri Lanka,6.0982704,80.9879044,2023-11-10,16:33:00
Red-vented Bulbul,2,Ambalantota,Kalametiya Sanctuary Lunama Lagoon,6.0957235,80.9555139,2023-11-05,06:26:00
Red-vented Bulbul,13,Ambalantota,Kalamatiya Sanctuary,6.089234,80.9489068,2023-11-05,07:03:00
Red-vented Bulbul,2,Ambalantota,Kalametiya Lagoon Kalametiya Sri Lanka,6.0814042,80.9343086,2023-11-11,06:11:00
Red-vented Bulbul,1,Ambalantota,Kalametiya Sanctuary Lunama Lagoon,6.0957235,80.9555139,2023-11-05,05:43:00
Red-vented Bulbul,2,Ambalantota,Kalametiya Sanctuary Lunama Lagoon,6.0957235,80.9555139,2023-11-05,06:26:00
Red-vented Bulbul,13,Ambalantota,Kalamatiya Sanctuary,6.089234,80.9489068,2023-11-05,07:03:00
Red-vented Bulbul,1,Ambalantota,nd PlainKalamatiya Road Kalametiya,6.0855695,80.9438669,2024-01-30,11:51:00
Red-vented Bulbul,18,Ambalantota,st Plain Kalametiya Southern Province,6.0987083,80.9548133,2024-01-27,08:17:00
Red-vented Bulbul,18,Ambalantota,st Plain Kalametiya Southern Province,6.0987083,80.9548133,2024-01-27,08:17:00
Red-vented Bulbul,2,Ambalantota,st PlainKalamatiya Road Kalametiya,6.0927196,80.9536885,2024-01-30,12:56:00
Red-vented Bulbul,1,Ambalantota,Kalametiya Bird Sanctuary,6.0906125,80.9354124,2024-01-26,06:01:00
Red-vented Bulbul,4,Ambalantota,nd PlainKalamatiya Road Kalametiya,6.0855695,80.9438669,2024-01-30,08:11:00
Red-vented Bulbul,2,Ambalantota,st PlainKalamatiya Road Kalametiya,6.0927196,80.9536885,2024-01-30,10:53:00
Red-vented Bulbul,25,Ambalantota,st PlainKalamatiya Road Kalametiya,6.0927196,80.9536885,2024-01-30,07:13:00
Red-vented Bulbul,18,Ambalantota,st Plain Kalametiya Southern Province,6.0987083,80.9548133,2024-01-27,08:17:00
Red-vented Bulbul,2,Ambalantota,Ussangoda Southern Province,6.0990559,80.9886437,2024-02-24,10:52:00
Red-vented Bulbul,3,Ambalantota,Ocean Cottage,6.076588,80.933991,2024-02-14,09:01:00
Red-vented Bulbul,X,Ambalantota,Kalametiya Bird Sanctuary,6.0906125,80.9354124,2024-03-29,16:09:00
Red-vented Bulbul,4,Ambalantota,Kalametiya Bird Sanctuary,6.0906125,80.9354124,2024-03-28,08:40:00
Red-vented Bulbul,1,Ambalantota,st PlainKalamatiya Road Kalametiya,6.0927196,80.9536885,2024-03-19,10:41:00
Red-vented Bulbul,2,Ambalantota,nd PlainKalamatiya Road Kalametiya,6.0855695,80.9438669,2024-03-19,09:05:00
Red-vented Bulbul,10,Ambalantota,Kalamatiya Road Kalametiya Southern Province,6.09382,80.9541666,2024-03-01,07:13:00
Red-vented Bulbul,X,Ambalantota,Kalametiya Bird Sanctuary,6.0906125,80.9354124,2024-03-16,05:58:00
Red-vented Bulbul,X,Ambalantota,Kalametiya Bird Sanctuary,6.0906125,80.9354124,2024-03-10,06:52:00
Red-vented Bulbul,7,Ambalantota,st PlainKalamatiya Road Kalametiya,6.0927196,80.9536885,2024-03-19,08:07:00
Red-vented Bulbul,3,Ambalantota,Kalametiya Village Southern,6.0812487,80.9312322,2024-03-28,08:05:00
Red-vented Bulbul,1,Ambalantota,Kalametiya Bird Sanctuary,6.0906125,80.9354124,2024-04-11,06:26:00
Red-vented Bulbul,1,Ambalantota,Kalametiya Bird Sanctuary,6.0906125,80.9354124,2024-04-06,06:10:00
Red-vented Bulbul,1,Ambalantota,nd PlainKalamatiya Road Kalametiya,6.0855695,80.9438669,2024-04-04,08:26:00
Red-vented Bulbul,4,Ambalantota,st PlainKalamatiya Road Kalametiya,6.0927196,80.9536885,2024-04-04,09:53:00
Red-vented Bulbul,3,Ambalantota,Kalametiya Bird Sanctuary,6.0906125,80.9354124,2024-04-13,16:55:00
Red-vented Bulbul,1,Ambalantota,Kalametiya,6.0977986,80.9622002,2024-04-06,07:10:00
Red-vented Bulbul,1,Ambalantota,st PlainKalamatiya Road Kalametiya,6.0927196,80.9536885,2024-04-04,07:24:00
Red-vented Bulbul,2,Ambalantota,Kalametiya Southern Province,6.1002963,80.9549287,2024-06-26,12:56:00
Red-vented Bulbul,6,Ambalantota,Madunahala forest,6.2395601,80.9989697,2024-06-12,06:56:00
Red-vented Bulbul,4,Ambalantota,Really Really Secret Beach,6.084558,80.9433005,2024-06-24,17:13:00
Red-vented Bulbul,1,Ambalantota,Kalamatiya Road Kalametiya Southern Province,6.0985829,80.9547514,2024-06-26,08:19:00
Red-vented Bulbul,5,Ambalantota,st PlainKalamatiya Road Kalametiya,6.0927196,80.9536885,2024-06-26,08:30:00
Red-vented Bulbul,1,Ambalantota,st PlainKalamatiya Road Kalametiya,6.0927196,80.9536885,2024-06-26,10:47:00
Red-vented Bulbul,2,Ambalantota,Tissa Road Hungama Southern Province,6.1068402,80.9213058,2024-07-14,17:26:00
Red-vented Bulbul,X,Ambalantota,Pattamaluwa Juntion Southern Province,6.1352949,80.9298329,2024-08-14,15:49:00
Red-vented Bulbul,X,Ambalantota,Southern Province,6.1299543,80.9353337,2024-08-15,05:56:00
Red-vented Bulbul,4,Ambalantota,Kalametiya Bird Sanctuary,6.0906125,80.9354124,2024-11-14,06:08:00
Red-vented Bulbul,6,Ambalantota,Kalametiya Bird Sanctuary,6.0906125,80.9354124,2024-11-13,14:31:00
Red-vented Bulbul,5,Ambalantota,Kalametiya,6.0977986,80.9622002,2024-12-28,06:45:00
Red-vented Bulbul,6,Angunakolapelessa,Unnamed Road Southern Province,6.1693373,80.8546506,2020-06-11,05:57:00
Red-vented Bulbul,3,Angunakolapelessa,Unnamed Road Southern Province,6.2144102,80.913869,2020-06-19,09:27:00
Red-vented Bulbul,2,Angunakolapelessa,Agunukolapelessa Kepu Ela,6.1620879,80.8989529,2022-02-27,13:32:00
Red-vented Bulbul,2,Angunakolapelessa,E Southern Province,6.1439367,80.83863,2023-06-07,14:30:00
Red-vented Bulbul,1,Angunakolapelessa,E Southern Province,6.1675687,80.8549531,2024-03-18,15:14:00
Red-vented Bulbul,2,Beliatta,E Southern Province,6.0339661,80.6967181,2021-05-03,14:27:00
Red-vented Bulbul,3,Beliatta,Isuru Villa  Beliaththa,6.0424899,80.7549121,2022-02-04,13:04:00
Red-vented Bulbul,5,Beliatta,Ampitiya Lake Beliatta Southern Province,6.0412961,80.7412477,2022-02-04,11:31:00
Red-vented Bulbul,3,Beliatta,Isuru Villa  Beliaththa,6.0424899,80.7549121,2022-02-04,13:04:00
Red-vented Bulbul,3,Beliatta,Isuru Villa  Beliaththa,6.0424899,80.7549121,2022-02-04,13:04:00
Red-vented Bulbul,5,Beliatta,Ampitiya Lake Beliatta Southern Province,6.0412961,80.7412477,2022-02-04,11:31:00
Red-vented Bulbul,5,Beliatta,Ampitiya Lake Beliatta Southern Province,6.0412961,80.7412477,2022-02-04,11:31:00
Red-vented Bulbul,5,Beliatta,Ampitiya Lake Beliatta Southern Province,6.0412961,80.7412477,2022-02-04,11:31:00
Red-vented Bulbul,3,Beliatta,Isuru Villa  Beliaththa,6.0424899,80.7549121,2022-02-04,13:04:00
Red-vented Bulbul,6,Beliatta,Beliatta  Walasmulla Road Southern Province,6.0662689,80.7316635,2022-06-20,12:33:00
Red-vented Bulbul,3,Beliatta,Getamanna Road Beliatta  Southern Province,6.0463094,80.7294072,2022-06-20,12:07:00
Red-vented Bulbul,1,Beliatta,Ampitiya Lake Beliatta Southern Province,6.0412961,80.7412477,2023-02-04,12:31:00
Red-vented Bulbul,1,Beliatta,Ampitiya Lake Beliatta Southern Province,6.0412961,80.7412477,2023-02-04,12:31:00
Red-vented Bulbul,1,Beliatta,Ampitiya Lake Beliatta Southern Province,6.0412961,80.7412477,2023-02-04,12:31:00
Red-vented Bulbul,1,Beliatta,Ampitiya Lake Beliatta Southern Province,6.0412961,80.7412477,2023-02-04,12:31:00
Red-vented Bulbul,1,Beliatta,Ampitiya Lake Beliatta Southern Province,6.0412961,80.7412477,2023-02-04,12:31:00
Red-vented Bulbul,2,Beliatta,Ampitiya Lake Beliatta Southern Province,6.0412961,80.7412477,2023-11-05,10:18:00
Red-vented Bulbul,2,Beliatta,Ampitiya Lake Beliatta Southern Province,6.0412961,80.7412477,2023-11-05,10:18:00
Red-vented Bulbul,2,Beliatta,Getamanna Road Beliatta  Southern Province,6.0463094,80.7294072,2024-02-13,15:48:00
Red-vented Bulbul,X,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-16,06:00:00
Red-vented Bulbul,6,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-10,10:00:00
Red-vented Bulbul,10,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-11,06:00:00
Red-vented Bulbul,X,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-03,08:51:00
Red-vented Bulbul,5,Hambantota,Bundala N P,6.1802579,81.2234035,2020-01-02,
Red-vented Bulbul,15,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-11,15:00:00
Red-vented Bulbul,20,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-29,05:58:00
Red-vented Bulbul,20,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-29,05:58:00
Red-vented Bulbul,40,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-03,07:00:00
Red-vented Bulbul,8,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-25,08:00:00
Red-vented Bulbul,1,Hambantota,Bundala NP,6.188598,81.2200356,2020-01-05,05:46:00
Red-vented Bulbul,4,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-24,06:09:00
Red-vented Bulbul,9,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-26,06:00:00
Red-vented Bulbul,X,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-11,06:00:00
Red-vented Bulbul,9,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-26,06:00:00
Red-vented Bulbul,3,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-25,08:29:00
Red-vented Bulbul,1,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-03,
Red-vented Bulbul,1,Hambantota,Hambantota,6.124,81.122,2020-01-06,17:16:00
Red-vented Bulbul,X,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-11,06:00:00
Red-vented Bulbul,10,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-11,06:00:00
Red-vented Bulbul,1,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-16,06:00:00
Red-vented Bulbul,6,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-10,10:00:00
Red-vented Bulbul,X,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-12,14:30:00
Red-vented Bulbul,X,Hambantota,Bundala National Park,6.1930548,81.2218203,2020-01-04,06:00:00
Red-vented Bulbul,11,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-26,07:45:00
Red-vented Bulbul,1,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-16,06:00:00
Red-vented Bulbul,15,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-12,06:00:00
Red-vented Bulbul,X,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-18,15:00:00
Red-vented Bulbul,11,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-26,07:45:00
Red-vented Bulbul,X,Hambantota,Unnamed Road Southern Province,6.2327684,81.1596741,2020-01-15,06:30:00
Red-vented Bulbul,X,Hambantota,Bundala NP General,6.188598,81.2200356,2020-01-02,06:00:00
Red-vented Bulbul,10,Hambantota,Bundala National Park,6.209728,81.225999,2020-01-12,05:52:00
Red-vented Bulbul,2,Hambantota,road to the bird park,6.2087212,81.1002014,2020-01-11,10:00:00
Red-vented Bulbul,12,Hambantota,Bundala NP General,6.188598,81.2200356,2020-02-02,06:00:00
Red-vented Bulbul,8,Hambantota,Bundala NP General,6.188598,81.2200356,2020-02-09,06:20:00
Red-vented Bulbul,8,Hambantota,Bundala NP General,6.188598,81.2200356,2020-02-09,06:20:00
Red-vented Bulbul,1,Hambantota,Bundala NP General,6.188598,81.2200356,2020-02-25,05:55:00
Red-vented Bulbul,8,Hambantota,Bundala NP General,6.188598,81.2200356,2020-02-09,06:20:00
Red-vented Bulbul,5,Hambantota,Bundala NP General,6.188598,81.2200356,2020-02-15,06:30:00
Red-vented Bulbul,13,Hambantota,Bundala NP General,6.188598,81.2200356,2020-02-21,06:30:00
Red-vented Bulbul,8,Hambantota,Bundala NP General,6.188598,81.2200356,2020-02-09,06:20:00
Red-vented Bulbul,8,Hambantota,Bundala NP General,6.188598,81.2200356,2020-02-09,06:20:00
Red-vented Bulbul,5,Hambantota,Bundala NP General,6.188598,81.2200356,2020-02-15,06:30:00
Red-vented Bulbul,X,Hambantota,Bundala NP General,6.188598,81.2200356,2020-02-07,06:30:00
Red-vented Bulbul,X,Hambantota,Bundala NP General,6.188598,81.2200356,2020-02-02,06:00:00
Red-vented Bulbul,5,Hambantota,Bundala NP General,6.188598,81.2200356,2020-02-26,06:33:00
Red-vented Bulbul,2,Hambantota,Bundala NP General,6.188598,81.2200356,2020-02-17,04:00:00
Red-vented Bulbul,2,Hambantota,Bundala NP General,6.188598,81.2200356,2020-02-17,04:00:00
Red-vented Bulbul,24,Hambantota,Bundala NP General,6.188598,81.2200356,2020-02-07,08:57:00
Red-vented Bulbul,5,Hambantota,Bundala NP General,6.188598,81.2200356,2020-02-16,15:30:00
Red-vented Bulbul,5,Hambantota,Bundala NP General,6.188598,81.2200356,2020-02-16,15:30:00
Red-vented Bulbul,16,Hambantota,Bundala NP General,6.188598,81.2200356,2020-02-16,05:49:00
Red-vented Bulbul,X,Hambantota,Bundala Village Paddyfields,6.1944745,81.2761454,2020-02-02,16:00:00
Red-vented Bulbul,X,Hambantota,Bundala NP General,6.188598,81.2200356,2020-02-04,05:30:00
Red-vented Bulbul,X,Hambantota,Bundala NP General,6.188598,81.2200356,2020-02-17,06:00:00
Red-vented Bulbul,8,Hambantota,Bundala NP General,6.188598,81.2200356,2020-02-09,06:20:00
