GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS1334049461	2023-10-22 02:59:01.388532	9724	species	avibase-avibase-809951F0	Blue-tailed Bee-eater	Merops philippinus				1					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Hungama - Gurupokuna Road, Southern Province, LK (6.097, 80.924)	L17638336	P	6.0968647	80.9243003	2022-02-04	15:28:00	obsr333980	S101992303	Traveling	P22	EBIRD	8	2.290		5	1	G7821481	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1333992664	2023-10-22 02:59:00.197386	9724	species	avibase-avibase-809951F0	Blue-tailed Bee-eater	Merops philippinus				1					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Hungama - Gurupokuna Road, Southern Province, LK (6.097, 80.924)	L17638336	P	6.0968647	80.9243003	2022-02-04	15:28:00	obsr1001147	S101989013	Traveling	P22	EBIRD	8	2.290		5	1	G7821481	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1334063926	2023-10-22 02:59:02.120874	9724	species	avibase-avibase-809951F0	Blue-tailed Bee-eater	Merops philippinus				1					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Hungama - Gurupokuna Road, Southern Province, LK (6.097, 80.924)	L17638336	P	6.0968647	80.9243003	2022-02-04	15:28:00	obsr580318	S101993640	Traveling	P22	EBIRD	8	2.290		5	1	G7821481	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1334055826	2023-10-22 20:04:16.227519	9724	species	avibase-avibase-809951F0	Blue-tailed Bee-eater	Merops philippinus				4					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Kalametiya Sanctuary- Lunama Lagoon	L17638956	P	6.0957235	80.9555139	2022-02-04	16:35:00	obsr1001147	S101992928	Traveling	P22	EBIRD	60	1.010		7	1	G7821541	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1334024117	2023-10-22 20:02:57.669046	9724	species	avibase-avibase-809951F0	Blue-tailed Bee-eater	Merops philippinus				4					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Kalametiya Sanctuary- Lunama Lagoon	L17638956	P	6.0957235	80.9555139	2022-02-04	16:35:00	obsr580318	S101991616	Traveling	P22	EBIRD	60	1.010		7	1	G7821541	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1334030716	2023-10-23 19:23:29.731604	9724	species	avibase-avibase-809951F0	Blue-tailed Bee-eater	Merops philippinus				12					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Kalametiya Bird Sanctuary	L5662667	H	6.0906125	80.9354124	2022-02-04	17:38:00	obsr333980	S101991293	Traveling	P22	EBIRD	49	2.570		5	1	G7821502	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1334037899	2023-10-23 19:23:29.851851	9724	species	avibase-avibase-809951F0	Blue-tailed Bee-eater	Merops philippinus				12					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Kalametiya Bird Sanctuary	L5662667	H	6.0906125	80.9354124	2022-02-04	17:38:00	obsr580318	S101991456	Traveling	P22	EBIRD	49	2.570		5	1	G7821502	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1333985676	2023-10-23 19:23:29.137098	9724	species	avibase-avibase-809951F0	Blue-tailed Bee-eater	Merops philippinus				4					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Gurupokuna - Kalametiya	L17638626	P	6.0837023	80.9323441	2022-02-04	15:42:00	obsr1001147	S101989109	Traveling	P22	EBIRD	39	1.300		1	1	G7821490	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1334049534	2023-10-22 20:01:40.860174	9724	species	avibase-avibase-809951F0	Blue-tailed Bee-eater	Merops philippinus				4					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Kalametiya Sanctuary- Lunama Lagoon	L17638956	P	6.0957235	80.9555139	2022-02-04	16:35:00	obsr225081	S101992310	Traveling	P22	EBIRD	60	1.010		7	1	G7821541	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1332937839	2022-10-22 00:24:06.429084	9724	species	avibase-avibase-809951F0	Blue-tailed Bee-eater	Merops philippinus				12					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Kalamatiya Road, Kalametiya, Southern Province, LK (6.094, 80.954)	L17626647	P	6.0938200	80.9541666	2022-02-02	16:32:00	obsr1623604	S101909053	Traveling	P22	EBIRD	31	1.890		1	1		0	1	0				
