GLOBAL UNIQUE IDENTIFIER	LAST EDITED DATE	TAXONOMIC ORDER	CATEGORY	TAXON CONCEPT ID	COMMON NAME	SCIENTIFIC NAME	SUBSPECIES COMMON NAME	SUBSPECIES SCIENTIFIC NAME	EXOTIC CODE	OBSERVATION COUNT	BREEDING CODE	BREEDING CATEGORY	BEHAVIOR CODE	AGE/SEX	COUNTRY	COUNTRY CODE	STATE	STATE CODE	COUNTY	COUNTY CODE	IBA CODE	BCR CODE	USFWS CODE	ATLAS BLOCK	LOCALITY	LOCALITY ID	LOCALITY TYPE	LATITUDE	LONGITUDE	OBSERVATION DATE	TIME OBSERVATIONS STARTED	OBSERVER ID	SAMPLING EVENT IDENTIFIER	PROTOCOL TYPE	PROTOCOL CODE	PROJECT CODE	DURATION MINUTES	EFFORT DISTANCE KM	EFFORT AREA HA	NUMBER OBSERVERS	ALL SPECIES REPORTED	GROUP IDENTIFIER	HAS MEDIA	APPROVED	REVIEWED	REASON	TRIP COMMENTS	SPECIES COMMENTS	
URN:CornellLabOfOrnithology:EBIRD:OBS1383410171	2023-10-23 19:24:50.206341	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				2					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Kalametiya Bird Sanctuary	L5662667	H	6.0906125	80.9354124	2022-04-04	13:41:00	obsr609647	S106311242	Traveling	P22	EBIRD	120	3.450		4	1	G8123499	1	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1387987283	2023-10-23 19:24:56.87103	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				3					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Kalametiya Bird Sanctuary	L5662667	H	6.0906125	80.9354124	2022-04-10	16:47:00	obsr2300789	S106693400	Traveling	P22	EBIRD	98	2.500		2	0		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1459055806	2022-06-14 04:03:32.451649	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				1					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Rumba Viharaya (6.195, 80.95)	L19296169	P	6.1947800	80.9499733	2022-05-27	13:31:00	obsr1108110	S112907405	Traveling	P22	EBIRD	73	1.820		2	1	G8553323	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1443636535	2022-06-14 04:03:32.451649	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				1					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Rumba Viharaya (6.195, 80.95)	L19296169	P	6.1947800	80.9499733	2022-05-27	13:31:00	obsr662880	S111385348	Traveling	P22	EBIRD	73	1.820		2	1	G8553323	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1444432756	2023-02-03 09:50:06.170451	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				2					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Nonagama, Southern Province, LK (6.133, 80.982)	L19312338	P	6.1329875	80.9819083	2022-05-27	08:47:00	obsr662880	S111461512	Traveling	P22	EBIRD	120	4.350		3	1	G8553322	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1444897416	2022-10-25 09:18:33.515893	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				1					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Mamadala	L19382548	P	6.1591214	80.9751892	2022-05-27	08:55:00	obsr3176899	S111506200	Traveling	P22	EBIRD	195	1.979		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1459055787	2023-02-03 09:50:06.170451	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				2					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Nonagama, Southern Province, LK (6.133, 80.982)	L19312338	P	6.1329875	80.9819083	2022-05-27	08:47:00	obsr1108110	S112907403	Traveling	P22	EBIRD	120	4.350		3	1	G8553322	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1569482661	2023-10-23 19:28:03.821915	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				X					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Kalametiya Bird Sanctuary	L5662667	H	6.0906125	80.9354124	2022-11-26	06:15:00	obsr2018658	S123022072	Traveling	P22	EBIRD	296	7.840		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1564381077	2023-10-23 19:27:54.546665	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				1					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Kalamatiya Sanctuary	L21566523	P	6.0892340	80.9489068	2022-11-18	14:39:00	obsr1001147	S122607913	Traveling	P22	EBIRD	91	4.500		2	1	G9192410	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1564389008	2023-10-23 19:27:54.666486	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				1					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Kalamatiya Sanctuary	L21566523	P	6.0892340	80.9489068	2022-11-18	16:43:00	obsr1001147	S122608915	Traveling	P22	EBIRD	58	3.000		2	1	G9192411	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1571647322	2023-03-22 03:16:16.871336	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				X					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Kalametiya Bird Sanctuary	L5662667	H	6.0906125	80.9354124	2022-11-29	06:42:00	obsr823365	S123194420	Traveling	P22	EBIRD	143	4.540		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1564638750	2023-10-23 19:27:54.920507	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				1					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Kalamatiya Sanctuary	L21566523	P	6.0892340	80.9489068	2022-11-18	14:39:00	obsr1351039	S122629571	Traveling	P22	EBIRD	91	4.500		2	1	G9192410	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1567106587	2023-10-23 19:28:00.024396	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				1					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Kalamatiya Sanctuary	L21566523	P	6.0892340	80.9489068	2022-11-18	16:43:00	obsr1351039	S122822450	Traveling	P22	EBIRD	58	3.000		2	1	G9192411	0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1582827592	2023-10-23 19:28:26.283807	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				X					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Kalametiya Bird Sanctuary	L5662667	H	6.0906125	80.9354124	2022-12-17	06:08:00	obsr2018658	S124080385	Traveling	P22	EBIRD	349	10.800		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1595388715	2023-02-03 09:50:06.170451	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				1					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Ridiyagama,Unnamed Road, Southern Province, LK (6.252, 80.979)	L22020986	P	6.2522733	80.9789283	2023-01-02	16:00:00	obsr1108110	S125160539	Traveling	P22	EBIRD	123	3.960		1	1		0	1	0				
URN:CornellLabOfOrnithology:EBIRD:OBS1604928025	2023-10-23 19:29:05.866052	9975	species	avibase-avibase-B30B6781	White-throated Kingfisher	Halcyon smyrnensis				2					Sri Lanka	LK	Hambantota	LK-33	Ambalantota	LK-33-001					Kalametiya Bird Sanctuary	L5662667	H	6.0906125	80.9354124	2023-01-13	06:12:00	obsr3276419	S126027612	Traveling	P22	EBIRD	157	4.920		1	0		0	1	0				
