LATITUDE,LONGITUDE,ScaledCountPerMinute,ScaledCountPerKM,Season_Northeast Monsoon,Season_Southwest Monsoon,TimeOfDay_Morning,Month,DayOfWeek,OBSERVATION COUNT
6.0799399,80.9329748,-0.4056181488764008,-0.08402298002419137,True,False,False,1,6,4.0
6.076015,80.9329447,0.09632203927861412,0.08939611571044521,True,False,True,1,0,4.0
6.0837023,80.9323441,0.45668935385144527,0.02936642872537869,True,False,False,2,4,8.0
6.0968647,80.9243003,1.3093441606532337,-0.1281350425855127,True,False,False,2,4,3.0
6.0968647,80.9243003,1.3093441606532337,-0.1281350425855127,True,False,False,2,4,3.0
6.0957235,80.9555139,-0.23830475282472913,-0.04195597165291814,True,False,False,2,4,4.0
6.0837023,80.9323441,0.45668935385144527,0.02936642872537869,True,False,False,2,4,8.0
6.0968647,80.9243003,1.3093441606532337,-0.1281350425855127,True,False,False,2,4,3.0
6.0837023,80.9323441,0.45668935385144527,0.02936642872537869,True,False,False,2,4,8.0
6.0957235,80.9555139,-0.23830475282472913,-0.04195597165291814,True,False,False,2,4,4.0
6.09382,80.9541666,0.07473321398162422,-0.10191542640951101,True,False,False,2,2,4.0
6.0837023,80.9323441,0.45668935385144527,0.02936642872537869,True,False,False,2,4,8.0
6.0957235,80.9555139,-0.23830475282472913,-0.04195597165291814,True,False,False,2,4,4.0
6.0906125,80.9354124,-0.5729315449280724,-0.17073252789150967,True,False,True,2,5,
6.0968647,80.9243003,1.3093441606532337,-0.1281350425855127,True,False,False,2,4,3.0
6.0957235,80.9555139,-0.23830475282472913,-0.04195597165291814,True,False,False,2,4,4.0
6.0906125,80.9354124,-0.5729315449280724,-0.17073252789150967,False,False,True,3,3,
6.0957235,80.9555139,0.46556539608230324,0.4389439805505721,False,False,False,4,3,6.0
6.0906125,80.9354124,0.43094883138195744,-0.15859513317324003,False,False,True,4,5,1.0
6.0906125,80.9354124,-0.34477691394852017,-0.07648301934007672,False,False,False,4,4,2.0
6.0906125,80.9354124,-0.5729315449280724,-0.17073252789150967,False,False,True,4,1,
6.0906125,80.9354124,-0.5455031193458311,-0.16387837939862512,False,False,True,4,5,1.0
6.0957235,80.9555139,0.46556539608230324,0.4389439805505721,False,False,False,4,3,6.0
6.19478,80.9499733,-0.29789582539107795,-0.09926861481404954,False,True,False,5,4,4.0
6.19478,80.9499733,-0.29789582539107795,-0.09926861481404954,False,True,False,5,4,4.0
6.089234,80.9489068,0.03285833732798009,-0.09486167350760615,False,False,False,11,4,7.0
6.0906125,80.9354124,-0.5729315449280724,-0.17073252789150967,False,False,True,11,1,
6.089234,80.9489068,0.03285833732798009,-0.09486167350760615,False,False,False,11,4,7.0
6.0906125,80.9354124,-0.5729315449280724,-0.17073252789150967,False,False,True,11,5,
6.089234,80.9489068,0.08896760428733187,-0.08402298002419137,False,False,False,11,4,12.0
6.089234,80.9489068,0.08896760428733187,-0.08402298002419137,False,False,False,11,4,12.0
6.0906125,80.9354124,-0.5729315449280724,-0.17073252789150967,True,False,True,12,5,
6.0906125,80.9354124,-0.5729315449280724,-0.17073252789150967,True,False,True,1,4,
6.0906125,80.9354124,-0.4341462394474231,-0.1472552134870011,True,False,False,1,0,6.0
6.0906125,80.9354124,-0.5089901196853953,-0.1575146090092965,True,False,True,1,4,2.0
6.0906125,80.9354124,-0.5729315449280724,-0.17073252789150967,True,False,True,1,5,
6.1620879,80.8989529,-0.07099135677305747,0.07012732729548557,True,False,False,2,6,2.0
6.0412961,80.7412477,0.5678416099696887,0.9131368204499691,True,False,True,2,4,5.0
6.0412961,80.7412477,0.5678416099696887,0.9131368204499691,True,False,True,2,4,5.0
6.0412961,80.7412477,0.5678416099696887,0.9131368204499691,True,False,True,2,4,5.0
6.0412961,80.7412477,0.5678416099696887,0.9131368204499691,True,False,True,2,4,5.0
6.0463094,80.7294072,0.1799787373044499,-0.07119350610504734,False,True,False,6,0,3.0
6.1833817,81.2451875,-0.4552893133292408,-0.1574786907514644,True,False,False,1,2,3.0
6.188598,81.2200356,-0.5117193268603877,-0.1617514257094231,True,False,True,1,2,2.0
6.188598,81.2200356,-0.4056181488764008,-0.14471966353131419,True,False,True,1,4,8.0
6.188598,81.2200356,-0.2717674320350635,-0.12195840721614312,True,False,True,1,5,9.0
6.188598,81.2200356,-0.35469668051284853,-0.0361832294767054,True,False,True,1,2,6.0
6.188598,81.2200356,-0.4974518173859649,-0.16509911132008825,True,False,True,1,6,4.0
6.1938448,81.2576837,-0.315526320233193,-0.12541394886677884,True,False,False,2,6,4.0
6.2028327,81.2421641,0.17068354863491259,-0.11891407299072182,True,False,True,2,6,4.0
6.1938448,81.2576837,-0.315526320233193,-0.12541394886677884,True,False,False,2,6,4.0
6.1937271,81.1858388,-0.07099135677305747,-0.08944232676589876,True,False,False,2,6,3.0
6.1295157,81.1216347,3.442589960312047,0.0050300691368382255,True,False,False,2,6,4.0
6.1922451,81.2279787,0.6317249066439633,-0.09511373614675533,True,False,True,2,6,6.0
6.188598,81.2200356,-0.5729315449280724,-0.17073252789150967,True,False,True,2,2,
6.1938448,81.2576837,-0.315526320233193,-0.12541394886677884,True,False,False,2,6,4.0
6.1822533,81.2234169,-0.23454490122806237,-0.15342139366777707,True,False,True,2,6,6.0
6.1938448,81.2576837,-0.315526320233193,-0.12541394886677884,True,False,False,2,6,4.0
6.1937271,81.1858388,-0.07099135677305747,-0.08944232676589876,True,False,False,2,6,3.0
6.2028327,81.2421641,0.17068354863491259,-0.11891407299072182,True,False,True,2,6,4.0
6.2028327,81.2421641,0.17068354863491259,-0.11891407299072182,True,False,True,2,6,4.0
6.1822533,81.2234169,-0.23454490122806237,-0.15342139366777707,True,False,True,2,6,6.0
6.1822533,81.2234169,-0.23454490122806237,-0.15342139366777707,True,False,True,2,6,6.0
6.188598,81.2200356,-0.5366903761082157,-0.1683432207822258,True,False,True,2,3,2.0
6.188598,81.2200356,-0.5729315449280724,-0.17073252789150967,True,False,True,2,5,
6.1922451,81.2279787,0.6317249066439633,-0.09511373614675533,True,False,True,2,6,6.0
6.1822533,81.2234169,-0.23454490122806237,-0.15342139366777707,True,False,True,2,6,6.0
6.2028327,81.2421641,0.17068354863491259,-0.11891407299072182,True,False,True,2,6,4.0
6.1922451,81.2279787,0.6317249066439633,-0.09511373614675533,True,False,True,2,6,6.0
6.1937271,81.1858388,-0.07099135677305747,-0.08944232676589876,True,False,False,2,6,3.0
6.1937271,81.1858388,-0.07099135677305747,-0.08944232676589876,True,False,False,2,6,3.0
6.1935349,81.2585154,-0.25921892733118806,-0.07119350610504734,True,False,True,2,5,3.0
6.188598,81.2200356,-0.02013398088069919,-0.14035388850827005,True,False,False,2,3,25.0
6.1943058,81.2637059,0.1799787373044499,0.23571847773654483,True,False,False,2,6,3.0
6.188598,81.2200356,-0.5200957356485971,-0.1672172759509427,True,False,False,2,2,2.0
6.1922451,81.2279787,0.6317249066439633,-0.09511373614675533,True,False,True,2,6,6.0
6.2015578,81.2618267,0.03919063574877502,0.03249297492251759,True,False,False,2,6,5.0
6.188598,81.2200356,-0.5729315449280724,-0.17073252789150967,False,False,False,3,4,
6.188598,81.2200356,-0.3177077204424716,-0.15912655033639567,False,False,True,3,6,6.0
6.188598,81.2200356,-0.5729315449280724,-0.17073252789150967,False,False,False,3,3,
6.188598,81.2200356,-0.5729315449280724,-0.17073252789150967,False,False,True,3,0,
6.188598,81.2200356,-0.2971402327549873,-0.15674892128150478,False,False,True,4,6,10.0
6.2028327,81.2421641,0.17068354863491259,-0.0778294408908115,False,False,True,4,3,4.0
6.2047891,81.2298359,1.7086147648674497,-0.055427278067948095,False,False,True,4,3,5.0
6.188598,81.2200356,0.28753734905195316,-0.12913945180285016,False,False,True,4,0,30.0
6.188598,81.2200356,-0.5729315449280724,-0.17073252789150967,False,False,True,4,4,
6.188598,81.2200356,-0.5729315449280724,-0.17073252789150967,False,False,False,4,5,
6.188598,81.2200356,-0.5729315449280724,-0.17073252789150967,False,False,False,4,6,
6.1938448,81.2576837,3.442589960312047,-0.07068304958306548,False,False,True,4,3,8.0
6.1938448,81.2576837,0.9714998032412042,-0.1096694660131165,False,False,True,4,3,4.0
6.2028327,81.2421641,0.17068354863491259,-0.0778294408908115,False,False,True,4,3,4.0
6.2028327,81.2421641,0.0007143843919446059,-0.12822784756439284,False,False,True,4,3,4.0
6.188598,81.2200356,-0.5729315449280724,-0.17073252789150967,False,False,True,4,5,
6.188598,81.2200356,-0.5729315449280724,-0.17073252789150967,False,False,False,4,6,
6.188598,81.2200356,-0.2971402327549873,-0.15674892128150478,False,False,True,4,6,10.0
6.1938448,81.2576837,3.442589960312047,-0.07068304958306548,False,False,True,4,3,8.0
6.2007,81.2178091,4.97482842941683,0.26698393970793366,False,False,True,4,3,21.0
6.1916363,81.2702795,0.08751607106536821,-0.09683234505004522,False,False,True,4,3,5.0
6.188598,81.2200356,0.28753734905195316,-0.12913945180285016,False,False,True,4,0,30.0
6.2007,81.2178091,4.97482842941683,0.26698393970793366,False,False,True,4,3,21.0
6.2540325,81.1465591,-0.03238057306882556,1.0937817118402156,False,False,True,4,4,7.0
6.1916363,81.2702795,0.08751607106536821,-0.09683234505004522,False,False,True,4,3,5.0
6.2028327,81.2421641,0.0007143843919446059,-0.12822784756439284,False,False,True,4,3,4.0
6.188598,81.2200356,0.28753734905195316,-0.12913945180285016,False,False,True,4,0,30.0
6.188598,81.2200356,-0.5729315449280724,-0.17073252789150967,False,False,False,4,6,
6.2047891,81.2298359,1.7086147648674497,-0.055427278067948095,False,False,True,4,3,5.0
6.1938448,81.2576837,0.9714998032412042,-0.1096694660131165,False,False,True,4,3,4.0
6.188598,81.2200356,-0.4056181488764008,-0.16422931180146078,False,True,True,5,0,4.0
6.188598,81.2200356,-0.4056181488764008,-0.16422931180146078,False,True,True,5,0,4.0
6.188598,81.2200356,-0.5729315449280724,-0.17073252789150967,False,True,True,7,2,
6.188598,81.2200356,-0.32196145085056493,-0.1577260957114119,False,False,True,9,5,4.0
6.188598,81.2200356,1.6579137357608826,-0.04066820609053222,False,False,True,9,5,40.0
6.188598,81.2200356,-0.5478345355203216,-0.14794088271610473,False,False,True,10,0,3.0
6.1891958,81.2644983,-0.4056181488764008,0.009912363498736776,False,False,True,11,1,2.0
6.188598,81.2200356,-0.2888144572931583,-0.12971140032602058,False,False,True,11,6,15.0
6.188598,81.2200356,-0.2776726107192401,-0.15549537679017678,False,False,True,11,6,1.0
6.188598,81.2200356,-0.5729315449280724,-0.17073252789150967,False,False,True,11,5,
6.188598,81.2200356,-0.5246680652977825,-0.16346920506797824,False,False,True,11,1,4.0
6.188598,81.2200356,-0.5175704947639164,-0.16601252782615267,True,False,True,12,3,3.0
6.188598,81.2200356,-0.45462914367941565,-0.14750675614133513,True,False,True,12,6,7.0
6.188598,81.2200356,0.17068354863491259,-0.06412242805464291,True,False,True,12,0,4.0
6.1492483,81.0666675,0.6181129693380647,0.08645680900307849,True,False,False,12,6,14.0
6.188598,81.2200356,-0.5729315449280724,-0.17073252789150967,True,False,False,12,0,
6.188598,81.2200356,-0.49197345006436033,-0.13991159855478516,True,False,True,12,3,2.0
6.188598,81.2200356,0.3396869789901365,-0.08572316723727604,True,False,True,12,0,4.0
6.188598,81.2200356,-0.47940231732154787,-0.16007151790782298,True,False,True,12,3,3.0
6.188598,81.2200356,-0.4534219763197355,0.23571847773654483,True,False,False,12,5,4.0
6.188598,81.2200356,0.43094883138195744,-0.08590797019522002,True,False,True,12,0,6.0
6.188598,81.2200356,-0.46138928089362463,-0.14605239092737732,True,False,True,1,2,4.0
6.188598,81.2200356,-0.5729315449280724,-0.17073252789150967,True,False,True,1,1,
